config,segmenter,grammar,options,unique_trees,unique_types,tree_size,max_branching,heldout_ppl,mdl_bits,term_exact,term_within1,term_mae,term_rule,seed,test_miou_full,test_mof_full,test_f1_full,test_nmi,test_k_used
Old HiSD,fixed,seq,pu,27,15,11.47,2.01,1.284,644.1,0.152,0.365,6.905,pu_horizon,0,0.41349729895591736,0.5562859773635864,0.7393999695777893,0.4906485080718994,5.0
A,dp,seq,pu,20,15,12.34,2.09,1.445,634.2,0.171,0.409,2.952,pu_horizon,0,0.3721950352191925,0.47925224900245667,0.6251999735832214,0.47663140296936035,6.0
A+B,dp,np,pu,10,9,12.37,2.05,1.376,545.4,0.171,0.409,2.952,pu_horizon,0,0.3721950352191925,0.47925224900245667,0.6251999735832214,0.47663140296936035,6.0
A+C,dp,seq,dur,20,15,12.34,2.09,1.445,634.2,0.194,0.422,2.53,bayes_en/thr,0,0.3721950352191925,0.47925224900245667,0.6251999735832214,0.47663140296936035,6.0
A+B+C,dp,np,dur,10,9,12.37,2.05,1.376,545.4,0.194,0.422,2.53,bayes_en/thr,0,0.3721950352191925,0.47925224900245667,0.6251999735832214,0.47663140296936035,6.0
B+C,fixed,np,dur,20,9,11.43,2.03,1.259,547.5,0.295,0.559,1.949,bayes_en/thr,0,0.41349729895591736,0.5562859773635864,0.7393999695777893,0.4906485080718994,5.0
B-only,fixed,np,pu,20,9,11.43,2.03,1.259,547.5,0.152,0.365,6.905,pu_horizon,0,0.41349729895591736,0.5562859773635864,0.7393999695777893,0.4906485080718994,5.0
C-only,fixed,seq,dur,27,15,11.47,2.01,1.284,644.1,0.295,0.559,1.949,bayes_en/thr,0,0.41349729895591736,0.5562859773635864,0.7393999695777893,0.4906485080718994,5.0
Old HiSD,fixed,seq,pu,9,7,10.11,2.01,1.122,218.7,0.324,0.562,1.968,pu_horizon,1,0.4513046145439148,0.5981922745704651,0.7526000142097473,0.5114308595657349,5.0
A,dp,seq,pu,18,14,12.43,2.06,1.1,458.5,0.168,0.375,3.343,pu_horizon,1,0.5265897512435913,0.5988085269927979,0.6991778016090393,0.5363757610321045,6.0
A+B,dp,np,pu,5,5,10.36,4.0,1.12,354.5,0.168,0.375,3.343,pu_horizon,1,0.5265897512435913,0.5988085269927979,0.6991778016090393,0.5363757610321045,6.0
A+C,dp,seq,dur,18,14,12.43,2.06,1.1,458.5,0.149,0.406,2.635,bayes_en/thr,1,0.5265897512435913,0.5988085269927979,0.6991778016090393,0.5363757610321045,6.0
A+B+C,dp,np,dur,5,5,10.36,4.0,1.12,354.5,0.149,0.406,2.635,bayes_en/thr,1,0.5265897512435913,0.5988085269927979,0.6991778016090393,0.5363757610321045,6.0
B+C,fixed,np,dur,5,4,10.03,2.05,1.139,175.2,0.333,0.581,1.803,bayes_en/thr,1,0.4513046145439148,0.5981922745704651,0.7526000142097473,0.5114308595657349,5.0
B-only,fixed,np,pu,5,4,10.03,2.05,1.139,175.2,0.324,0.562,1.968,pu_horizon,1,0.4513046145439148,0.5981922745704651,0.7526000142097473,0.5114308595657349,5.0
C-only,fixed,seq,dur,9,7,10.11,2.01,1.122,218.7,0.333,0.581,1.803,bayes_en/thr,1,0.4513046145439148,0.5981922745704651,0.7526000142097473,0.5114308595657349,5.0
Old HiSD,fixed,seq,pu,20,16,10.5,2.06,1.313,579.3,0.232,0.47,3.165,pu_horizon,2,0.4302860498428345,0.5811421275138855,0.7383333444595337,0.46884316205978394,5.0
A,dp,seq,pu,12,10,12.41,2.03,1.09,360.5,0.194,0.368,2.663,pu_horizon,2,0.4824705719947815,0.5605998635292053,0.6182000041007996,0.5366359353065491,6.0
A+B,dp,np,pu,13,7,12.31,2.08,1.112,364.8,0.194,0.368,2.663,pu_horizon,2,0.4824705719947815,0.5605998635292053,0.6182000041007996,0.5366359353065491,6.0
A+C,dp,seq,dur,12,10,12.41,2.03,1.09,360.5,0.238,0.413,2.524,bayes_en/thr,2,0.4824705719947815,0.5605998635292053,0.6182000041007996,0.5366359353065491,6.0
A+B+C,dp,np,dur,13,7,12.31,2.08,1.112,364.8,0.238,0.413,2.524,bayes_en/thr,2,0.4824705719947815,0.5605998635292053,0.6182000041007996,0.5366359353065491,6.0
B+C,fixed,np,dur,11,8,10.43,2.03,1.331,505.2,0.33,0.552,1.978,bayes_en/thr,2,0.4302860498428345,0.5811421275138855,0.7383333444595337,0.46884316205978394,5.0
B-only,fixed,np,pu,11,8,10.43,2.03,1.331,505.2,0.232,0.47,3.165,pu_horizon,2,0.4302860498428345,0.5811421275138855,0.7383333444595337,0.46884316205978394,5.0
C-only,fixed,seq,dur,20,16,10.5,2.06,1.313,579.3,0.33,0.552,1.978,bayes_en/thr,2,0.4302860498428345,0.5811421275138855,0.7383333444595337,0.46884316205978394,5.0
