config,K,seed,test_f1_full,test_f1_per,test_k_err,test_k_hat,test_k_used,test_miou_full,test_miou_per,test_mof_full,test_mof_per,test_nmi
fixedK,3,2,0.5503777861595154,0.5798667669296265,2.0,3.0,3.0,0.2703759968280792,0.294401615858078,0.5788825154304504,0.6049091815948486,0.41198620200157166
fixedK,3,0,0.5333777666091919,0.5657112002372742,2.0,3.0,3.0,0.2756745219230652,0.2969030737876892,0.5840180516242981,0.6094517111778259,0.43635883927345276
fixedK,4,0,0.6218000054359436,0.6380444169044495,1.0,4.0,4.0,0.3903139531612396,0.39813050627708435,0.6127772927284241,0.6163666844367981,0.4265657365322113
fixedK,3,1,0.49539998173713684,0.5376443266868591,2.0,3.0,3.0,0.2583829164505005,0.28243470191955566,0.5585455894470215,0.5875512361526489,0.4141281843185425
fixedK,4,1,0.603755533695221,0.634555459022522,1.0,4.0,4.0,0.3878471553325653,0.3935184180736542,0.6101068258285522,0.6153510808944702,0.4339870810508728
fixedK,4,2,0.6029777526855469,0.6333332061767578,1.0,4.0,4.0,0.3892868459224701,0.39452987909317017,0.6127772927284241,0.6173778176307678,0.42796874046325684
fixedK,5,1,0.7526000142097473,0.7341333627700806,0.0,5.0,5.0,0.4513046145439148,0.4768470823764801,0.5981922745704651,0.625928521156311,0.5114308595657349
fixedK,5,0,0.7393999695777893,0.6738442778587341,0.0,5.0,5.0,0.41349729895591736,0.4428803026676178,0.5562859773635864,0.5954989790916443,0.4906485080718994
fixedK,5,2,0.7383333444595337,0.7307335138320923,0.0,5.0,5.0,0.4302860498428345,0.47404003143310547,0.5811421275138855,0.623368501663208,0.46884316205978394
fixedK,6,1,0.7425777912139893,0.7488221526145935,1.0,6.0,6.0,0.5367652773857117,0.5367528200149536,0.6113393306732178,0.618166983127594,0.5244314074516296
fixedK,6,0,0.627311110496521,0.6797778606414795,1.0,6.0,6.0,0.47960978746414185,0.5059065818786621,0.5624486207962036,0.5978574752807617,0.5199918150901794
fixedK,6,2,0.7186222076416016,0.7173998951911926,1.0,6.0,6.0,0.5341840386390686,0.5378997325897217,0.6059983372688293,0.6199454069137573,0.5277557373046875
fixedK,7,0,0.5465555787086487,0.6257778406143188,2.0,7.0,7.0,0.4289005398750305,0.4636146128177643,0.5022596716880798,0.530997633934021,0.4861038327217102
fixedK,7,1,0.6191999912261963,0.6806887984275818,2.0,7.0,7.0,0.46687325835227966,0.49700409173965454,0.5384141206741333,0.5591307878494263,0.4985174834728241
fixedK,7,2,0.4662444293498993,0.5186223387718201,2.0,7.0,7.0,0.35631105303764343,0.4224024713039398,0.4278964698314667,0.4902905821800232,0.44802290201187134
dp_g1.0_plan,6,0,0.6280221939086914,0.6821333765983582,1.0,6.0,6.0,0.47799137234687805,0.5050398111343384,0.5614215135574341,0.5975318551063538,0.5196405649185181
dp_g1.0_plan,6,2,0.7199333310127258,0.7212221622467041,1.0,6.0,6.0,0.5364769697189331,0.539398193359375,0.6076417565345764,0.6213657855987549,0.5320667624473572
dp_g1.0_plan,6,1,0.7429555654525757,0.750155508518219,1.0,6.0,6.0,0.536648154258728,0.5355045199394226,0.6117501854896545,0.6186505556106567,0.5247747898101807
dp_g1.0_plan,10,0,0.7645777463912964,0.7516664862632751,0.0,5.0,5.0,0.4618043899536133,0.47749170660972595,0.6059983372688293,0.6255403757095337,0.5239216089248657
dp_g1.0_plan,10,1,0.7503110766410828,0.7325778603553772,0.0,5.0,5.0,0.4472807049751282,0.4646560549736023,0.594494640827179,0.6165432929992676,0.526125967502594
dp_g1.0_plan,10,2,0.7509777545928955,0.7421331405639648,0.0,5.0,5.0,0.4516206383705139,0.4709320068359375,0.5959326028823853,0.6204023957252502,0.5314028859138489
dp_g1.0_plan,20,0,0.5318666696548462,0.55875563621521,2.0,3.0,3.0,0.27502498030662537,0.2940695583820343,0.581758439540863,0.6052515506744385,0.43896788358688354
dp_g1.0_plan,20,1,0.761044442653656,0.7473110556602478,0.0,5.0,5.0,0.45802855491638184,0.47369134426116943,0.6029170155525208,0.6229482293128967,0.5274016261100769
dp_g1.0_plan,20,2,0.4983111023902893,0.5382445454597473,2.0,3.0,3.0,0.25806453824043274,0.2825888693332672,0.5583401918411255,0.5883235931396484,0.40887999534606934
